Sensor,Break,Interval,Time,Start,End,Comments
T-Line 1,0.2519,24.5368,1672873940.9484,1672873940.9484015,1672873941.2003293,
T-Line 1,0.2614,72.0276,1672873916.4116,1672873916.4115598,1672873916.6729834,
Hog-Line 1,0.0458,22.0764,1672873844.3840,1672873844.3839507,1672873844.4297702,
Hog-Line 1,0.2794,14.1931,1672873822.3075,1672873822.307514,1672873822.586898,
Hog-Line 2,0.1242,3.0037,1672873808.1145,1672873808.1144543,1672873808.2386923,
T-Line 2,0.1136,24.2418,1672873805.1107,1672873805.1107144,1672873805.2243016,
T-Line 2,0.0235,25.1300,1672873780.8690,1672873780.8689597,1672873780.8924153,
Hog-Line 2,0.3391,7.3519,1672873755.7390,1672873755.7389772,1672873756.0781229,
Hog-Line 1,0.2756,13.9607,1672873748.3870,1672873748.3870463,1672873748.662666,
Hog-Line 2,0.1255,3.0707,1672873734.4263,1672873734.4263113,1672873734.5517793,
T-Line 2,0.1466,36.2315,1672873731.3556,1672873731.355563,1672873731.5021493,
T-Line 2,0.1748,4.2918,1672873695.1240,1672873695.124029,1672873695.298853,
Hog-Line 2,0.3095,6.5592,1672873690.8323,1672873690.8322744,1672873691.1417427,
Hog-Line 1,0.2816,14.0895,1672873684.2731,1672873684.273103,1672873684.5547128,
Hog-Line 2,0.1243,2.7964,1672873670.1836,1672873670.1836178,1672873670.3079662,
T-Line 2,0.1015,20.5400,1672873667.3873,1672873667.3872564,1672873667.4887338,
T-Line 2,0.4072,4.1771,1672873646.8473,1672873646.847259,1672873647.2544904,
Hog-Line 2,0.4106,8.9433,1672873642.6701,1672873642.6701326,1672873643.0807319,
Hog-Line 1,0.2840,14.5575,1672873633.7269,1672873633.7268617,1672873634.0108235,
Hog-Line 2,0.1311,3.1615,1672873619.1694,1672873619.1693585,1672873619.3005068,
T-Line 2,0.1127,22.1943,1672873616.0079,1672873616.00786,1672873616.1205633,
T-Line 2,0.2165,4.4789,1672873593.8135,1672873593.8135128,1672873594.0300548,
Hog-Line 2,0.3369,10.6289,1672873589.3346,1672873589.3346152,1672873589.6715436,
Hog-Line 1,0.1974,12.0452,1672873578.7057,1672873578.70572,1672873578.9031365,
Hog-Line 2,0.1175,2.8673,1672873566.6605,1672873566.6604917,1672873566.7780325,
T-Line 2,0.1055,20.7156,1672873563.7932,1672873563.793222,1672873563.8987243,
T-Line 2,0.1700,3.8573,1672873543.0776,1672873543.07759,1672873543.2476094,
Hog-Line 2,0.2554,3.7274,1672873539.2203,1672873539.2203054,1672873539.4757502,
